id,kind,user_id,status,payload,result,error,attempts,locked_at,locked_by,created_at,updated_at
1,pillar_okr_sync,3,done,"{""run_id"": 1, ""user_id"": 3, ""pillar_key"": ""nutrition"", ""pillar_score"": 58.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""fruit_veg"": 60.0, ""hydration"": 62.5, ""processed_food"": 50.0, ""protein_intake"": 60.0}, ""pillar_result_id"": 1, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""nutrition"", ""objective_id"": 4, ""pillar_result_id"": 1}",,1,,,2026-02-24 10:06:21.852869,2026-02-24 10:06:56.901454
2,pillar_okr_sync,3,done,"{""run_id"": 1, ""user_id"": 3, ""pillar_key"": ""training"", ""pillar_score"": 75.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""cardio_frequency"": 100.0, ""strength_training"": 50.0, ""flexibility_mobility"": 75.0}, ""pillar_result_id"": 2, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""training"", ""objective_id"": 2, ""pillar_result_id"": 2}",,1,,,2026-02-24 10:06:23.618906,2026-02-24 10:06:49.623496
3,pillar_okr_sync,3,done,"{""run_id"": 1, ""user_id"": 3, ""pillar_key"": ""resilience"", ""pillar_score"": 57.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""stress_recovery"": 57.14285714285714, ""support_openness"": 57.14285714285714, ""positive_connection"": 57.14285714285714, ""emotional_regulation"": 57.14285714285714, ""optimism_perspective"": 57.14285714285714}, ""pillar_result_id"": 3, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""resilience"", ""objective_id"": 3, ""pillar_result_id"": 3}",,1,,,2026-02-24 10:06:26.046955,2026-02-24 10:06:52.530531
4,pillar_okr_sync,3,done,"{""run_id"": 1, ""user_id"": 3, ""pillar_key"": ""recovery"", ""pillar_score"": 57.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""sleep_quality"": 57.14285714285714, ""sleep_duration"": 57.14285714285714, ""bedtime_consistency"": 57.14285714285714}, ""pillar_result_id"": 4, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""recovery"", ""objective_id"": 1, ""pillar_result_id"": 4}",,1,,,2026-02-24 10:06:27.513864,2026-02-24 10:06:48.770062
5,assessment_week1_habit_seed,3,done,"{""run_id"": 1, ""user_id"": 3, ""week_no"": 1, ""require_seed"": true, ""assess_session_id"": 1}","{""ok"": true, ""reason"": ""pending_pillar_okr_sync=4"", ""week_no"": 1, ""requeued"": true, ""seeded_count"": 0, ""requeue_count"": 1, ""duplicate_found"": false}",,1,,,2026-02-24 10:06:27.583174,2026-02-24 10:06:29.949401
6,assessment_narratives_seed,3,done,"{""run_id"": 1, ""user_id"": 3}","{""ok"": true, ""run_id"": 1, ""user_id"": 3, ""duration_ms"": 72112, ""narratives_cached"": false, ""narratives_source"": ""llm""}",,1,,,2026-02-24 10:06:27.684006,2026-02-24 10:07:41.745706
7,assessment_week1_habit_seed,3,done,"{""run_id"": 1, ""user_id"": 3, ""week_no"": 1, ""max_requeues"": 30, ""require_seed"": true, ""requeue_count"": 1, ""assess_session_id"": 1, ""last_requeue_reason"": ""pending_pillar_okr_sync=4""}","{""ok"": true, ""reason"": ""pending_pillar_okr_sync=4"", ""week_no"": 1, ""requeued"": true, ""seeded_count"": 0, ""requeue_count"": 2, ""duplicate_found"": false}",,1,,,2026-02-24 10:06:29.925743,2026-02-24 10:06:30.024149
8,assessment_week1_habit_seed,3,done,"{""run_id"": 1, ""user_id"": 3, ""week_no"": 1, ""max_requeues"": 30, ""require_seed"": true, ""requeue_count"": 2, ""assess_session_id"": 1, ""last_requeue_reason"": ""pending_pillar_okr_sync=4""}","{""ok"": true, ""reason"": ""pending_pillar_okr_sync=4"", ""week_no"": 1, ""requeued"": true, ""seeded_count"": 0, ""requeue_count"": 3, ""duplicate_found"": false}",,1,,,2026-02-24 10:06:30.001838,2026-02-24 10:06:30.101078
9,assessment_week1_habit_seed,3,done,"{""run_id"": 1, ""user_id"": 3, ""week_no"": 1, ""max_requeues"": 30, ""require_seed"": true, ""requeue_count"": 3, ""assess_session_id"": 1, ""last_requeue_reason"": ""pending_pillar_okr_sync=4""}","{""ok"": true, ""reason"": ""pending_pillar_okr_sync=4"", ""week_no"": 1, ""requeued"": true, ""seeded_count"": 0, ""requeue_count"": 4, ""duplicate_found"": false}",,1,,,2026-02-24 10:06:30.078435,2026-02-24 10:06:30.174605
10,assessment_week1_habit_seed,3,done,"{""run_id"": 1, ""user_id"": 3, ""week_no"": 1, ""max_requeues"": 30, ""require_seed"": true, ""requeue_count"": 4, ""assess_session_id"": 1, ""last_requeue_reason"": ""pending_pillar_okr_sync=4""}","{""ok"": true, ""reason"": ""pending_pillar_okr_sync=4"", ""week_no"": 1, ""requeued"": true, ""seeded_count"": 0, ""requeue_count"": 5, ""duplicate_found"": false}",,1,,,2026-02-24 10:06:30.153983,2026-02-24 10:06:30.250263
