id,kind,user_id,status,payload,result,error,attempts,locked_at,locked_by,created_at,updated_at
1,pillar_okr_sync,2,done,"{""run_id"": 1, ""user_id"": 2, ""pillar_key"": ""nutrition"", ""pillar_score"": 45.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""fruit_veg"": 40.0, ""hydration"": 50.0, ""processed_food"": 50.0, ""protein_intake"": 40.0}, ""pillar_result_id"": 1, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""nutrition"", ""objective_id"": 2, ""pillar_result_id"": 1}",,1,,,2026-02-22 17:18:53.90736,2026-02-22 17:19:27.126949
2,pillar_okr_sync,2,done,"{""run_id"": 1, ""user_id"": 2, ""pillar_key"": ""training"", ""pillar_score"": 56.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""cardio_frequency"": 66.66666666666666, ""strength_training"": 50.0, ""flexibility_mobility"": 50.0}, ""pillar_result_id"": 2, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""training"", ""objective_id"": 1, ""pillar_result_id"": 2}",,1,,,2026-02-22 17:18:57.732665,2026-02-22 17:19:21.948188
3,pillar_okr_sync,2,done,"{""run_id"": 1, ""user_id"": 2, ""pillar_key"": ""resilience"", ""pillar_score"": 29.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""stress_recovery"": 28.57142857142857, ""support_openness"": 28.57142857142857, ""positive_connection"": 28.57142857142857, ""emotional_regulation"": 28.57142857142857, ""optimism_perspective"": 28.57142857142857}, ""pillar_result_id"": 3, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""resilience"", ""objective_id"": 3, ""pillar_result_id"": 3}",,1,,,2026-02-22 17:19:02.699974,2026-02-22 17:19:45.738158
4,pillar_okr_sync,2,done,"{""run_id"": 1, ""user_id"": 2, ""pillar_key"": ""recovery"", ""pillar_score"": 29.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""sleep_quality"": 28.57142857142857, ""sleep_duration"": 28.57142857142857, ""bedtime_consistency"": 28.57142857142857}, ""pillar_result_id"": 4, ""assess_session_id"": 1, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""recovery"", ""objective_id"": 4, ""pillar_result_id"": 4}",,1,,,2026-02-22 17:19:23.163753,2026-02-22 17:19:46.923742
5,assessment_week1_habit_seed,2,done,"{""run_id"": 1, ""user_id"": 2, ""week_no"": 1, ""require_seed"": true, ""assess_session_id"": 1}","{""ok"": true, ""week_no"": 1, ""seeded_count"": 3}",,1,,,2026-02-22 17:19:23.197206,2026-02-22 17:20:15.017713
6,assessment_report,2,error,"{""run_id"": 1, ""user_id"": 2}",,"[Errno 13] Permission denied: '/var/data'",3,2026-02-22 17:20:48.159598,worker-1,2026-02-22 17:19:24.234553,2026-02-22 17:20:48.374259
7,pillar_okr_sync,2,done,"{""run_id"": 2, ""user_id"": 2, ""pillar_key"": ""nutrition"", ""pillar_score"": 45.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""fruit_veg"": 40.0, ""hydration"": 50.0, ""processed_food"": 50.0, ""protein_intake"": 40.0}, ""pillar_result_id"": 5, ""assess_session_id"": 2, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""nutrition"", ""objective_id"": 2, ""pillar_result_id"": 5}",,1,,,2026-02-22 17:21:46.949413,2026-02-22 17:22:20.376132
8,pillar_okr_sync,2,done,"{""run_id"": 2, ""user_id"": 2, ""pillar_key"": ""training"", ""pillar_score"": 56.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""cardio_frequency"": 66.66666666666666, ""strength_training"": 50.0, ""flexibility_mobility"": 50.0}, ""pillar_result_id"": 6, ""assess_session_id"": 2, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""training"", ""objective_id"": 1, ""pillar_result_id"": 6}",,1,,,2026-02-22 17:22:10.913987,2026-02-22 17:22:30.690061
9,pillar_okr_sync,2,done,"{""run_id"": 2, ""user_id"": 2, ""pillar_key"": ""resilience"", ""pillar_score"": 29.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""stress_recovery"": 28.57142857142857, ""support_openness"": 28.57142857142857, ""positive_connection"": 28.57142857142857, ""emotional_regulation"": 28.57142857142857, ""optimism_perspective"": 28.57142857142857}, ""pillar_result_id"": 7, ""assess_session_id"": 2, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""resilience"", ""objective_id"": 3, ""pillar_result_id"": 7}",,1,,,2026-02-22 17:22:41.998299,2026-02-22 17:23:01.458725
10,pillar_okr_sync,2,done,"{""run_id"": 2, ""user_id"": 2, ""pillar_key"": ""recovery"", ""pillar_score"": 29.0, ""quarter_label"": ""This Quarter"", ""concept_scores"": {""sleep_quality"": 28.57142857142857, ""sleep_duration"": 28.57142857142857, ""bedtime_consistency"": 28.57142857142857}, ""pillar_result_id"": 8, ""assess_session_id"": 2, ""write_progress_entries"": true}","{""ok"": true, ""pillar_key"": ""recovery"", ""objective_id"": 4, ""pillar_result_id"": 8}",,1,,,2026-02-22 17:23:22.841878,2026-02-22 17:23:46.128595
